	N_downshift_15min	N_downshift_25min	N_downshift_44min	N_downshift_5min	N_downshift_79min	N_downshift_9min	N_upshift_15min	N_upshift_25min	N_upshift_44min	N_upshift_5min	N_upshift_79min	N_upshift_9min	Rapamycin_15min	Rapamycin_25min	Rapamycin_44min	Rapamycin_5min	Rapamycin_79min	Rapamycin_9min
r_0001	-0.0004899074111998302	0.005087593547301369	-0.023714037951489533	0.0040023626608068266	0.024133295978583758	-0.021197703796915116	-0.08337145433378387	-0.09151442200944568	-0.42245093809281503	-0.02984335643788221	-0.5336875765819813	-0.06282230349073249	0.00037388093681207804	-0.0247839862491967	-0.08743413978287334	0.09520116038242196	-0.043889846742346784	-0.0020972465650897247
r_0018	-0.024361540656995015	-0.0355588279378968	-0.04474225945232709	-0.027741567180286957	-0.04963395557467618	-0.0016696325212396893	-0.018329827953421703	-0.05586058510300551	-0.3016838296113047	0.0015997606729536385	-0.34301499434161253	-0.041001554939283175	0.0054744524719811645	-0.13343177846179477	-0.19439863299131227	0.023891934043377604	-0.05001939974017537	-0.004320516987593594
r_0063	0.029751251199682655	0.00496108313223154	-0.0002644177880557798	0.01929299020389356	-0.03900877168341027	0.042974229721012724	-0.008154045410925868	-0.021255920137147395	-0.17283481480279184	-0.020328437797462403	-0.16693922763096058	0.002781950351469196	0.022284197500568894	0.026120511222260195	-0.12784139613035006	0.15233290501950444	-0.009513632856610166	0.006958729482317079
r_0069	-0.044769441059462775	-0.07186076813805795	-0.1330990388594186	-0.004399502294952344	-0.1289066964435345	-0.03614719801607529	0.010408646159757656	-0.02408911965141905	-0.08161975263870049	-0.010755044999548956	-0.12086979048372873	-0.0073278543187706435	0.010395340811800808	-0.04467267838477091	-0.13386249715540072	-0.07312133194736815	-0.07613988778220808	-0.02855300771136111
r_0111	-0.005284413895116655	0.0024300451489286277	-0.027327699105090426	-0.0017514134578505182	-0.0029588555809488964	0.00982876895138024	-0.073467219003222	-0.06756774501016194	-0.4852829397392727	0.006341460298851197	-0.6136458171178245	-0.05163364080780486	-0.0014251160714207273	0.004783501930522377	-0.21106214753197305	0.022877956206405762	-0.05839877208252405	0.0050157375258487475
r_0174	0.008053332842012898	0.010909595897761063	0.02524879787277886	0.00863115911405263	0.018416634099043584	0.021882970469732043	-0.018372201662300244	0.002812337770397069	-0.007431445810503666	0.014519084576997972	-0.014648449623365766	-0.00811736121975801	-0.004206146782956003	0.08274323221762445	0.05797614985763794	0.02291019143675614	0.012436516164147843	0.016130531024048423
r_0221	-0.08239012955425938	-0.14094621185552936	-0.22255095727368832	-0.00907521001703475	-0.2900326690140216	-0.01497232235053137	0.21009606171989606	0.22202845644832214	0.6890277635517645	0.21852963449969032	0.7095413939256057	0.21141692625764658	-0.003324840627712374	0.027742356841444986	-0.041561239502964774	-0.09910009634086141	0.009617787604467715	0.010360369405509336
r_0226	0.04995754429313825	0.10940282576595448	0.14906756130038487	0.01944149863431886	0.15581224054877635	0.03373060674089921	0.03175710044841807	0.05280592871241882	0.33098651772553583	-0.0203538746142873	0.3535186263435773	0.007339912939382264	0.05640673564375856	0.37250451005411	0.6075398806834018	-0.119669105787698	0.15682493538495523	0.051022896614383174
r_0229	-0.013743032826387206	-0.05739591616061613	-0.10528796677178476	0.013749479986667864	-0.21426550796083735	0.01154467018546226	0.15674097389842476	0.20587542277214516	0.3195365142255238	0.14715151146732808	0.49088906922586656	0.1586970501516198	0.0478649131166613	0.5440897913685903	0.6639943445597097	0.05122641415169155	0.15945735692970453	0.06546726797448503
r_0514	-0.08169167944875694	-0.1690918093563236	-0.281690270205663	-0.02948108337604883	-0.3597893451490898	-0.013276086020689238	0.21323044610552694	0.21760645502109943	0.38966850656876195	0.19983854974853943	0.2170212253706092	0.21858933671509923	0.0055039946306966805	-0.11286790608497628	-0.2906195853057191	-0.0799483407790888	-0.049414823183003054	-0.011140130803437797
